address,city,state,zip, price , sqft ,bedrooms,bathrooms,property age,parking,heating,basement,attic,green_bldg,age_in_years, price_per_sqft ,seller_rating,sale_type,price_range,cluster,property_score
3544 Gerber Ave,Pittsburgh,PA,15212,"$134,900.00 ","1,440",3,1,1958,1,0,0,0,1,59,$93.68 ,3,House,$100k-$500k,cluster2,Four
800 Parkview Blvd,Pittsburgh,PA,15215,"$134,900.00 ",,3,1,1922,1,0,0,0,0,95,,1.1,House,$100k-$500k,cluster3,One
112 Washington Pl Apt 15F,Pittsburgh,PA,15219,"$134,900.00 ",,1,1,1995,0,1,1,1,1,22,,3.7,Condo,$100k-$500k,cluster6,Three
105 Woodside Rd,Pittsburgh,PA,15221,"$134,900.00 ",,3,1,1985,0,0,0,0,0,32,,4.3,House,$100k-$500k,cluster3,One
2518 Wedgemere St,Pittsburgh,PA,15226,"$134,900.00 ","1,186",3,2,1918,0,1,0,0,0,99,$113.74 ,4.3,House,$100k-$500k,cluster3,One
600 Highview Rd,Pittsburgh,PA,15234,"$134,900.00 ",,3,2,1951,0,1,1,1,1,66,,4.3,House,$100k-$500k,cluster6,Three
433 Dewalt Dr,Pittsburgh,PA,15234,"$134,900.00 ",,2,1,1912,1,1,0,0,0,105,,5,House,$100k-$500k,cluster2,Four
537 Green Haven Ct,Pittsburgh,PA,15239,"$134,900.00 ",,2,2,1931,1,1,1,1,1,86,,4.2,House,$100k-$500k,cluster6,Three
1808 Oblock Rd,Pittsburgh,PA,15239,"$134,900.00 ",,3,2,1945,0,1,0,1,0,72,,5,House,$100k-$500k,cluster1,Three
631 Millers Ln,Pittsburgh,PA,15239,"$134,900.00 ",,3,2,2014,1,1,0,0,1,3,,3.1,House,$100k-$500k,cluster2,Three
3504 Grace St,Munhall,PA,15120,"$134,500.00 ",,3,2,1942,0,1,0,0,1,75,,4.1,House,$100k-$500k,cluster2,Four
3326 Franklin Dr,Pittsburgh,PA,15235,"$134,500.00 ",,3,3,1952,0,0,0,0,1,65,,3.6,House,$100k-$500k,cluster3,One
745 Garlow Blvd,Pittsburgh,PA,15239,"$134,500.00 ",,3,2,1901,1,0,0,1,1,116,,4.6,House,$100k-$500k,cluster6,Three
1701 Pleasant Ave,West Mifflin,PA,15122,"$134,000.00 ",,5,2,1975,1,0,1,0,0,42,,4.9,House,$100k-$500k,cluster4,Two
1701 Pleasant Ave,West Mifflin,PA,15122,"$134,000.00 ",,5,2,1916,0,0,1,0,1,101,,4.3,House,$100k-$500k,cluster6,Three
E Forest Ave,Pittsburgh,PA,15202,"$134,000.00 ","2,110",3,2,1955,1,0,1,1,1,62,$63.51 ,3.6,Auction,$100k-$500k,cluster5,Five
Kenzie Dr,Pittsburgh,PA,15205,"$134,000.00 ","1,026",2,2,1973,1,1,0,1,1,44,$130.60 ,4.7,Auction,$100k-$500k,cluster5,Five
Milgate St,Pittsburgh,PA,15224,"$134,000.00 ","1,946",4,1,1903,1,1,0,0,0,114,$68.86 ,2.9,Auction,$100k-$500k,cluster5,Four
4051 Edge Rd,Pittsburgh,PA,15227,"$134,000.00 ","1,260",3,3,1967,0,0,1,0,0,50,$106.35 ,0.8,Foreclosure,$100k-$500k,cluster3,One
Jenne Dr,Pittsburgh,PA,15236,"$134,000.00 ","1,200",3,2,1925,0,0,0,1,0,92,$111.67 ,4.5,Auction,$100k-$500k,cluster5,Five
4948 Mcanulty Rd,Pittsburgh,PA,15236,"$134,000.00 ",,3,,1959,1,1,0,1,0,58,,4.2,Foreclosure,$100k-$500k,cluster1,Three
435 Elaine Dr,Pittsburgh,PA,15236,"$133,500.00 ",,2,2,2009,1,1,1,1,1,8,,4,House,$100k-$500k,cluster6,Three
4956 Aspen St,West Mifflin,PA,15122,"$133,000.00 ",,3,1,1954,1,1,0,1,0,63,,4,House,$100k-$500k,cluster1,Four
Fieldstone Dr,Monroeville,PA,15146,"$133,000.00 ","1,887",3,1,2014,1,0,1,0,1,3,$70.48 ,4.9,Auction,$100k-$500k,cluster5,Five
430 South Ave,Pittsburgh,PA,15221,"$133,000.00 ","2,856",6,2,1937,1,1,1,0,0,80,$46.57 ,4.2,Foreclosure,$100k-$500k,cluster5,Five
Romine St,Pittsburgh,PA,15226,"$133,000.00 ","1,192",3,2,1969,1,1,1,1,0,48,$111.58 ,3.8,Auction,$100k-$500k,cluster5,Five
Hillson Ave,Pittsburgh,PA,15227,"$133,000.00 ","1,894",3,2,1908,1,1,1,1,0,109,$70.22 ,1.1,Auction,$100k-$500k,cluster5,Five
2024 Hampstead Dr,Pittsburgh,PA,15235,"$133,000.00 ","1,234",2,2,1965,0,1,0,0,1,52,$107.78 ,3.9,Auction,$100k-$500k,cluster2,Three
Saint William Pl,Pittsburgh,PA,15237,"$133,000.00 ","1,320",3,1,1967,1,1,1,0,0,50,$100.76 ,4.7,Auction,$100k-$500k,cluster5,Five
4421 W Run Rd,Munhall,PA,15120,"$132,900.00 ","1,550",4,2,1955,1,0,1,1,0,62,$85.74 ,3.4,House,$100k-$500k,cluster4,Two
627 Fernhill Ave,Pittsburgh,PA,15226,"$132,900.00 ",,2,1,2002,1,0,0,0,1,15,,4.7,House,$100k-$500k,cluster2,Three
Boyer Ave,Bethel Park,PA,15102,"$132,000.00 ","1,140",3,1,1909,0,1,1,0,0,108,$115.79 ,4.1,Auction,$100k-$500k,cluster5,Five
Barr Ave,Pittsburgh,PA,15205,"$132,000.00 ","2,440",3,2,1998,0,0,1,0,0,19,$54.10 ,4,Auction,$100k-$500k,cluster5,Five
1048 Pennsbury Blvd,Pittsburgh,PA,15205,"$132,000.00 ",,2,2,1939,0,0,1,0,0,78,,0.5,House,$100k-$500k,cluster3,One
1705 Williamsburg Pl,Pittsburgh,PA,15235,"$132,000.00 ","1,380",3,2,1946,0,1,0,0,1,71,$95.65 ,3.9,Foreclosure,$100k-$500k,cluster2,Four
110 Woodbridge Dr,Pittsburgh,PA,15237,"$132,000.00 ",,2,2,1946,0,1,0,1,0,71,,4.5,Condo,$100k-$500k,cluster1,Four
318 Howard Dr,Pittsburgh,PA,15241,"$132,000.00 ",888,2,1,1918,0,0,0,1,1,99,$148.65 ,2.1,House,$100k-$500k,cluster6,Three
153 Sunrise Dr,Pittsburgh,PA,15236,"$131,500.00 ",910,2,1,1969,0,1,1,0,1,48,$144.51 ,1.8,House,$100k-$500k,cluster2,Four
Scrubgrass Rd,Carnegie,PA,15106,"$131,000.00 ","1,050",3,2,1972,1,1,0,0,1,45,$124.76 ,4.2,Auction,$100k-$500k,cluster5,Five
149 N Sprague Ave,Pittsburgh,PA,15202,"$131,000.00 ","2,516",4,2,2001,1,0,0,1,1,16,$52.07 ,4.1,Auction,$100k-$500k,cluster6,Three
4206 Woodwind Ln,Allison Park,PA,15101,"$130,000.00 ",,,,1986,0,0,1,1,1,31,,3.6,Lot/Land,$100k-$500k,cluster6,Three
4231 Woodwind Ln,Allison Park,PA,15101,"$130,000.00 ",,,,1928,0,0,0,0,0,89,,4.8,Lot/Land,$100k-$500k,cluster3,One
323 Altaview Dr,Monroeville,PA,15146,"$130,000.00 ",,6,2,1929,0,1,1,0,0,88,,2.7,House,$100k-$500k,cluster3,One
524 Madison Ave,Bellevue,PA,15202,"$130,000.00 ",,3,2,1907,1,1,0,1,1,,,4.5,House,$100k-$500k,cluster2,Three
Uxor Way,Pittsburgh,PA,15203,"$130,000.00 ","1,343",3,2,1919,1,0,0,0,1,98,$96.80 ,3.8,Auction,$100k-$500k,cluster5,Five
190 Knox Ave,Mount Oliver,PA,15210,"$130,000.00 ","5,968",0,,1974,1,1,1,1,1,,$21.78 ,3.4,Apartment,$100k-$500k,cluster6,Three
710 Cedar Ave,Pittsburgh,PA,15212,"$130,000.00 ",,3,2,1928,0,1,1,1,1,89,,3.8,House,$100k-$500k,cluster6,Four
1229 Kelton Ave,Pittsburgh,PA,15216,"$130,000.00 ",,2,2,1989,0,1,0,1,1,28,,4.7,House,$100k-$500k,cluster1,Four
2332 Pioneer Ave,Pittsburgh,PA,15226,"$130,000.00 ",,3,2,1988,1,0,1,1,0,29,,3.8,House,$100k-$500k,cluster4,Two
2394 Hollywood Dr,Pittsburgh,PA,15235,"$130,000.00 ",,3,2,1977,1,1,1,0,0,40,,1.1,House,$100k-$500k,cluster2,Three
Monte Carlo Dr,Pittsburgh,PA,15239,"$130,000.00 ","1,378",3,2,1903,0,1,1,1,0,114,$94.34 ,4.6,Auction,$100k-$500k,cluster5,Five
34 Waldorf St,Pittsburgh,PA,15214,"$129,999.00 ",,5,2,1923,0,1,0,1,0,94,,3.5,House,$100k-$500k,cluster1,Three
1458 Bellaire Pl,Pittsburgh,PA,15226,"$129,999.00 ",,3,2,1946,1,0,0,0,0,71,,3.3,House,$100k-$500k,cluster3,One
2926 Willett Rd,Pittsburgh,PA,15227,"$129,921.00 ",,3,3,2007,0,1,0,0,1,10,,4.6,House,$100k-$500k,cluster2,Three
5374 Library Rd,Bethel Park,PA,15102,"$129,900.00 ",,4,3,1971,0,1,1,0,0,46,,3.7,House,$100k-$500k,cluster3,One
163 Brighton St,East Pittsburgh,PA,15112,"$129,900.00 ",,3,2,2014,0,0,1,1,1,3,,3,House,$100k-$500k,cluster6,Four
111 Forliview Rd,Glenshaw,PA,15116,"$129,900.00 ",,3,1,1924,0,1,1,0,1,93,,1.9,House,$100k-$500k,cluster2,Four
3622 Forest Ave,Munhall,PA,15120,"$129,900.00 ","1,242",3,2,1973,0,0,0,0,0,44,$104.59 ,3.6,House,$100k-$500k,cluster3,One
4413 Superior St,Munhall,PA,15120,"$129,900.00 ",,0,,1966,1,1,1,0,0,51,,2.3,Apartment,$100k-$500k,cluster5,Four
900 Hidden Ridge Ct Apt 102,South Park,PA,15129,"$129,900.00 ","1,152",2,2,1901,1,1,0,1,1,116,$112.76 ,3.7,Condo,$100k-$500k,cluster2,Three
2405 Center St,White Oak,PA,15131,"$129,900.00 ",,3,2,1983,0,1,1,1,1,34,,3.5,House,$100k-$500k,cluster6,Three
126 Longvue Dr,White Oak,PA,15131,"$129,900.00 ","1,448",3,3,2002,1,0,1,1,1,15,$89.71 ,4.1,House,$100k-$500k,cluster6,Four
215 Wainwright Dr,Mckeesport,PA,15132,"$129,900.00 ",,3,2,2014,0,0,1,1,0,3,,1.5,House,$100k-$500k,cluster4,Two
1158 Portsmouth Dr,Mckeesport,PA,15133,"$129,900.00 ",,3,3,1931,0,0,0,0,0,86,,4.2,House,$100k-$500k,cluster3,One
1311 Penhurst St,Mckeesport,PA,15135,"$129,900.00 ",,3,2,1971,0,0,1,1,0,46,,3.3,House,$100k-$500k,cluster4,Two
1229 Island Ave,Mc Kees Rocks,PA,15136,"$129,900.00 ",,2,2,2009,1,1,0,1,0,8,,4.6,House,$100k-$500k,cluster1,Three
1050 Preston Dr,North Versailles,PA,15137,"$129,900.00 ",,4,2,1992,0,0,1,0,0,25,,1.2,House,$100k-$500k,cluster3,One
813 Maple Ave,North Versailles,PA,15137,"$129,900.00 ",,3,2,1985,0,1,0,0,1,32,,3.2,House,$100k-$500k,cluster2,Three
100 Arlington Ave,North Versailles,PA,15137,"$129,900.00 ","1,322",3,1,1965,1,1,0,0,1,52,$98.26 ,4.9,House,$100k-$500k,cluster2,Three
1211 Denning Way,North Versailles,PA,15137,"$129,900.00 ",,3,1,1977,0,1,1,0,0,40,,3.6,House,$100k-$500k,cluster3,One
4415 Elizabeth St,West Mifflin,PA,15122,"$129,900.00 ","1,301",3,2,1930,1,1,1,1,0,87,$99.85 ,3.3,House,$100k-$500k,cluster4,Three
4415 Elizabeth St,West Mifflin,PA,15122,"$129,900.00 ","1,301",3,2,1953,1,0,1,0,0,64,$99.85 ,3.6,House,$100k-$500k,cluster4,Two
2210 Haymaker Rd,Monroeville,PA,15146,"$129,900.00 ",,4,3,1968,0,0,1,1,0,49,,3.9,House,$100k-$500k,cluster4,Two
169 National Dr,Monroeville,PA,15146,"$129,900.00 ",,4,1,1923,1,0,1,1,0,94,,3.1,House,$100k-$500k,cluster4,Two
340 Pinevue Dr,Monroeville,PA,15146,"$129,900.00 ",,2,1,1980,0,1,1,0,1,37,,3.5,House,$100k-$500k,cluster2,Three
365 Murtland St,Springdale,PA,15144,"$129,900.00 ",,3,2,1935,0,1,1,0,1,82,,0.7,House,$100k-$500k,cluster2,Four
1311 Maple Ave,Verona,PA,15147,"$129,900.00 ","1,628",3,3,1956,1,1,0,1,0,61,$79.79 ,1.6,House,$100k-$500k,cluster1,Four
525 Springwood Dr,Verona,PA,15147,"$129,900.00 ",,3,3,1941,0,0,1,1,0,76,,3.2,House,$100k-$500k,cluster4,Two
609 Taylor Ave,Pittsburgh,PA,15202,"$129,900.00 ","2,210",4,2,1921,0,1,0,1,0,96,$58.78 ,0.5,House,$100k-$500k,cluster1,Four
219 Brighton Rd,Pittsburgh,PA,15202,"$129,900.00 ",,0,,1990,1,1,0,0,1,27,,3.4,Apartment,$100k-$500k,cluster2,Three
2417 Cobden St # Land,Pittsburgh,PA,15203,"$129,900.00 ","4,927",,,1902,1,0,1,1,1,115,$26.36 ,3.9,For Sale by Owner,$100k-$500k,cluster6,Three
1278 S Pennsbury Blvd,Pennsbury,PA,15205,"$129,900.00 ",,3,2,1932,0,1,1,0,0,,,3.2,Condo,$100k-$500k,cluster3,Two
201 E Woodford Ave,Pittsburgh,PA,15210,"$129,900.00 ","1,300",3,2,1958,0,0,0,1,0,59,$99.92 ,4.4,House,$100k-$500k,cluster1,Three
233 Edith St,Pittsburgh,PA,15211,"$129,900.00 ",,2,1,1907,1,1,1,1,0,110,,4.9,House,$100k-$500k,cluster4,Two
500-600 Block Sweetbriar Corner Of Virginia Paper St,Mt Washington,PA,15211,"$129,900.00 ",,0,,1920,1,0,0,1,1,,,0.6,Lot/Land,$100k-$500k,cluster6,Three
344 Clarence St,Pittsburgh,PA,15211,"$129,900.00 ",,2,1,2003,0,0,1,1,1,14,,2.8,House,$100k-$500k,cluster6,Three
2703 Philadelphia Ave,Pittsburgh,PA,15216,"$129,900.00 ",,2,1,2002,0,0,1,0,1,15,,3.7,House,$100k-$500k,cluster6,Three
231 Oakview Ave,Pittsburgh,PA,15218,"$129,900.00 ","1,516",3,2,2005,0,1,1,1,0,12,$85.69 ,3.9,House,$100k-$500k,cluster1,Four
1015 Valora St,Pittsburgh,PA,15220,"$129,900.00 ",672,2,1,1961,1,0,1,0,0,56,$193.30 ,4.2,House,$100k-$500k,cluster4,Three
128 Roberta Dr,Pittsburgh,PA,15221,"$129,900.00 ","1,480",3,1,1903,0,0,0,1,1,114,$87.77 ,3.4,House,$100k-$500k,cluster6,Three
5109 Grand Ave,Pittsburgh,PA,15225,"$129,900.00 ",,3,1,1912,1,1,0,0,0,105,,3.2,House,$100k-$500k,cluster2,Three
135 Jillson St,Pittsburgh,PA,15226,"$129,900.00 ",,3,2,1959,0,0,0,0,1,58,,4.1,House,$100k-$500k,cluster3,One
2078 Pioneer Ave,Pittsburgh,PA,15226,"$129,900.00 ","3,200",5,2,1900,0,1,1,1,1,117,$40.59 ,3.4,House,$100k-$500k,cluster6,Three
624 Donaldson Dr,Pittsburgh,PA,15226,"$129,900.00 ",,4,2,1928,1,1,1,1,1,89,,3.7,House,$100k-$500k,cluster6,Three
4054 Cloverlea St,Pittsburgh,PA,15227,"$129,900.00 ",,3,2,1907,1,0,0,1,1,110,,4.3,House,$100k-$500k,cluster6,Four
516 Pointview Rd,Pittsburgh,PA,15227,"$129,900.00 ",,3,2,1905,1,0,1,0,0,112,,3.2,House,$100k-$500k,cluster4,Two
3739 Willett Rd,Pittsburgh,PA,15227,"$129,900.00 ",,3,2,1932,0,1,1,1,1,85,,3.2,House,$100k-$500k,cluster6,Four
4600 N Emblem Dr,Pittsburgh,PA,15227,"$129,900.00 ",,3,1,1974,1,0,0,1,0,43,,3.4,House,$100k-$500k,cluster4,Two
2844 Custer Ave,Pittsburgh,PA,15227,"$129,900.00 ",,3,2,1957,1,1,1,0,1,60,,4.5,House,$100k-$500k,cluster2,Four
125 Kaplan Ave,Pittsburgh,PA,15227,"$129,900.00 ",,3,2,1925,1,0,1,0,1,92,,4,House,$100k-$500k,cluster6,Three
600 Glowood Dr,Pittsburgh,PA,15227,"$129,900.00 ","1,120",2,1,1956,1,0,1,0,0,61,$115.98 ,3.2,House,$100k-$500k,cluster4,Two
325 Cornell Ave,Pittsburgh,PA,15229,"$129,900.00 ",,3,3,1914,0,1,1,1,0,103,,3.6,House,$100k-$500k,cluster1,Four
177 Crescent Hills Rd,Pittsburgh,PA,15235,"$129,900.00 ",,3,1,1955,0,0,0,0,0,62,,4.8,House,$100k-$500k,cluster3,One
216 Yosemite Dr,Pittsburgh,PA,15235,"$129,900.00 ","1,555",3,2,1987,0,1,1,1,0,30,$83.54 ,3.4,For Sale by Owner,$100k-$500k,cluster1,Three
7 Kiltie Dr,Pittsburgh,PA,15235,"$129,900.00 ",,3,3,1963,0,1,1,1,1,54,,1.7,House,$100k-$500k,cluster6,Three
145 Canaveral Dr,Pittsburgh,PA,15235,"$129,900.00 ",,3,2,1980,1,1,0,1,0,37,,2.9,House,$100k-$500k,cluster1,Three
241 Yosemite Dr,Pittsburgh,PA,15235,"$129,900.00 ",,3,2,1958,0,1,0,1,1,59,,1.1,House,$100k-$500k,cluster1,Four
44 Hennig Dr,Pittsburgh,PA,15236,"$129,900.00 ",,2,2,1963,0,1,0,0,0,54,,3.7,House,$100k-$500k,cluster3,One
429 Thompson Run Rd,Mcknight,PA,15237,"$129,900.00 ",,3,2,2006,1,0,0,1,0,,,3.9,House,$100k-$500k,cluster4,Two
737 New Texas Rd,Pittsburgh,PA,15239,"$129,900.00 ",,3,2,1961,0,0,0,0,0,56,,0.2,House,$100k-$500k,cluster3,One
132 Cliff Mine Rd,Coraopolis,PA,15108,"$129,500.00 ",,4,2,1928,1,0,0,0,1,89,,4.4,House,$100k-$500k,cluster2,Three
1908 Fawcett Ave,White Oak,PA,15131,"$129,500.00 ","1,176",3,2,1920,0,1,1,0,1,97,$110.12 ,4.4,House,$100k-$500k,cluster2,Three
139 Kathleen Dr,Pittsburgh,PA,15227,"$129,500.00 ",,3,2,1931,1,0,0,0,0,86,,4.4,House,$100k-$500k,cluster3,One
144 Canaveral Dr,Pittsburgh,PA,15235,"$129,250.00 ",,4,3,1962,1,0,1,0,1,55,,4.2,House,$100k-$500k,cluster6,Three
55 Highland Rd Apt 102,Bethel Park,PA,15102,"$129,000.00 ","1,017",2,2,1939,0,0,0,1,1,78,$126.84 ,3.2,Condo,$100k-$500k,cluster6,Three
1052 Franklin Dr,Bethel Park,PA,15102,"$129,000.00 ",,3,2,1916,1,1,1,1,0,101,,4.1,House,$100k-$500k,cluster4,Two
814 Florence Ave,Avalon,PA,15202,"$129,000.00 ","2,322",4,2,1984,1,1,1,0,1,,$55.56 ,3.1,Foreclosure,$100k-$500k,cluster2,Three
332 Elizabeth Ave,Pittsburgh,PA,15202,"$129,000.00 ",,3,1,2001,0,0,0,1,1,16,,3.2,House,$100k-$500k,cluster6,Four
1981 Federal Street Ext,Pittsburgh,PA,15214,"$129,000.00 ","1,144",3,1,1945,0,0,1,1,0,72,$112.76 ,4.4,House,$100k-$500k,cluster4,Three
518 Braddock Rd,Pittsburgh,PA,15221,"$129,000.00 ",,3,2,1987,0,1,1,1,1,30,,4.3,House,$100k-$500k,cluster6,Three
3331 Wallace Dr,Pittsburgh,PA,15227,"$129,000.00 ","1,095",2,1,1951,1,1,0,0,1,66,$117.81 ,3.7,For Sale by Owner,$100k-$500k,cluster2,Four
Lakewood Ave,Pittsburgh,PA,15229,"$129,000.00 ","1,632",3,1,1920,0,0,0,1,0,97,$79.04 ,4.3,Auction,$100k-$500k,cluster5,Five
912 Glass Run Rd,Pittsburgh,PA,15236,"$129,000.00 ",,4,3,1913,0,1,0,1,1,104,,4.2,House,$100k-$500k,cluster1,Three
Judith Dr,Pittsburgh,PA,15236,"$129,000.00 ",924,3,2,2012,0,1,0,0,1,5,$139.61 ,0.3,Auction,$100k-$500k,cluster5,Five
54 W Bruceton Rd,Pittsburgh,PA,15236,"$129,000.00 ",,3,2,1909,0,1,0,0,1,108,,4.3,House,$100k-$500k,cluster2,Three
Walnut St,Pittsburgh,PA,15239,"$129,000.00 ","1,196",2,2,1938,1,1,0,1,1,79,$107.86 ,3,Auction,$100k-$500k,cluster5,Five
Phillips Dr,Pittsburgh,PA,15241,"$129,000.00 ","1,113",3,2,1917,1,0,0,1,0,100,$115.90 ,3.3,Auction,$100k-$500k,cluster5,Five
2609 Sunset Dr,West Mifflin,PA,15122,"$128,900.00 ",,3,1,1929,1,0,1,1,0,88,,4.1,House,$100k-$500k,cluster4,Three
2609 Sunset Dr,West Mifflin,PA,15122,"$128,900.00 ",,3,1,1916,0,1,0,0,1,101,,2.4,House,$100k-$500k,cluster2,Three
4988 Aspen St,West Mifflin,PA,15122,"$128,900.00 ",,3,1,1953,0,0,0,1,0,64,,4.2,House,$100k-$500k,cluster1,Three
146 2Nd Ave,Pittsburgh,PA,15229,"$128,900.00 ","1,440",3,2,1949,1,0,0,1,0,68,$89.51 ,4,For Sale by Owner,$100k-$500k,cluster4,Two
233 Audrey Dr,Pittsburgh,PA,15236,"$128,900.00 ","1,105",2,2,2010,0,0,1,0,1,7,$116.65 ,4.4,House,$100k-$500k,cluster6,Three
850 Hidden Ridge Ct Apt 201,Library,PA,15129,"$128,500.00 ",,2,2,1973,0,1,1,1,0,44,,3.8,Foreclosure,$100k-$500k,cluster1,Three
1852 Atkinson Pl,Pittsburgh,PA,15235,"$128,500.00 ",,4,2,1943,1,0,0,1,1,74,,1,House,$100k-$500k,cluster6,Three
Rosebriar Ave,Glenshaw,PA,15116,"$128,000.00 ","1,098",1,1,1983,0,1,0,0,1,34,$116.58 ,2.6,Auction,$100k-$500k,cluster5,Four
Brintell St,Pittsburgh,PA,15201,"$128,000.00 ","1,384",3,1,1970,1,0,0,1,0,47,$92.49 ,3.4,Auction,$100k-$500k,cluster5,Five
7352 Whipple St,Pittsburgh,PA,15218,"$128,000.00 ","1,298",3,1,1960,1,1,1,0,1,57,$98.61 ,4.6,Foreclosure,$100k-$500k,cluster2,Four
114 Homer Pl,Pittsburgh,PA,15223,"$128,000.00 ","1,462",4,2,1969,0,0,1,1,1,48,$87.55 ,3.6,Foreclosure,$100k-$500k,cluster6,Three
109 Rhodes Ave,Brentwood,PA,15227,"$128,000.00 ","1,121",2,2,1903,1,0,1,1,0,,$114.18 ,3.7,Auction,$100k-$500k,cluster4,Two
Newport Dr,Pittsburgh,PA,15235,"$128,000.00 ","1,694",2,3,1969,1,0,0,1,1,48,$75.56 ,2.9,Auction,$100k-$500k,cluster5,Five
5815 Keystone Dr,Bethel Park,PA,15102,"$127,900.00 ",,3,1,1907,1,1,1,0,0,110,,3.5,House,$100k-$500k,cluster2,Three
1845 Clayton 104 # 104,Perry Hilltop,PA,15214,"$127,900.00 ",,2,2,1934,1,0,1,0,1,,,2.5,Condo,$100k-$500k,cluster6,Three
1204 Timberidge Dr,Bethel Park,PA,15102,"$127,500.00 ",,2,2,2011,0,0,1,0,1,6,,5,Condo,$100k-$500k,cluster6,Three
145 W Brentridge Ave,Pittsburgh,PA,15227,"$127,500.00 ","1,464",3,2,1961,0,0,1,0,1,56,$87.09 ,2.4,House,$100k-$500k,cluster6,Three
1087 Woodlawn Dr,Coraopolis,PA,15108,"$127,000.00 ","1,068",3,2,1951,0,1,1,1,1,66,$118.91 ,3.8,House,$100k-$500k,cluster6,Three
269 Shady Ridge Dr,Monroeville,PA,15146,"$127,000.00 ",,3,2,1914,1,0,0,0,0,103,,3.8,Townhouse,$100k-$500k,cluster3,One
Sweetleaf Dr,Monroeville,PA,15146,"$127,000.00 ","1,702",3,2,1981,1,0,1,1,0,36,$74.62 ,5,Auction,$100k-$500k,cluster4,Two
N Balph Ave,Pittsburgh,PA,15202,"$127,000.00 ","1,470",5,2,1992,1,1,1,0,0,25,$86.39 ,3.5,Auction,$100k-$500k,cluster5,Five
809 Taylor Ave,Pittsburgh,PA,15202,"$127,000.00 ",,3,1,1917,0,1,1,1,1,100,,0.8,House,$100k-$500k,cluster6,Three
N Grandview Ave,Pittsburgh,PA,15205,"$127,000.00 ","1,440",3,1,1933,0,0,1,0,1,84,$88.19 ,3.9,Auction,$100k-$500k,cluster5,Five
7129 Michigan Ave,Pittsburgh,PA,15218,"$127,000.00 ","1,232",3,2,2008,0,1,0,1,1,9,$103.08 ,1.3,Foreclosure,$100k-$500k,cluster1,Three
328 Barclay Ave,Pittsburgh,PA,15221,"$127,000.00 ","2,044",4,4,1920,0,0,1,1,0,97,$62.13 ,3.2,House,$100k-$500k,cluster4,Two
320 Fort Duquesne Blvd,Pittsburgh,PA,15222,"$127,000.00 ",,,,1978,0,0,0,1,0,39,,0.2,Foreclosure,$100k-$500k,cluster1,Three
1020 Bayridge Ave,Pittsburgh,PA,15226,"$127,000.00 ",,3,1,1956,1,0,0,1,1,61,,4.6,House,$100k-$500k,cluster6,Three
Eben St,Pittsburgh,PA,15226,"$127,000.00 ","1,778",3,2,1995,0,0,1,1,1,22,$71.43 ,3.3,Auction,$100k-$500k,cluster5,Five
Stanford Ave,Pittsburgh,PA,15229,"$127,000.00 ","1,711",4,1,1985,1,1,0,0,0,32,$74.23 ,4.6,Auction,$100k-$500k,cluster5,Five
Villa Haven Dr,Pittsburgh,PA,15236,"$127,000.00 ",925,3,1,1911,0,0,1,1,1,106,$137.30 ,3.8,Auction,$100k-$500k,cluster5,Five
Brookview Ln,Pittsburgh,PA,15237,"$127,000.00 ","1,144",2,1,1928,0,1,0,1,1,89,$111.01 ,4,Auction,$100k-$500k,cluster5,Five
1400 Timberidge Dr,Bethel Park,PA,15102,"$126,900.00 ",,2,2,1914,0,1,0,1,1,103,,3.7,House,$100k-$500k,cluster1,Four
234 Colony Ct,Pittsburgh,PA,15205,"$126,900.00 ","1,020",2,2,2004,0,0,1,0,0,13,$124.41 ,2.4,For Sale by Owner,$100k-$500k,cluster3,One
162 Parkfield St,Pittsburgh,PA,15210,"$126,900.00 ","2,770",3,3,2006,1,1,0,0,1,11,$45.81 ,0.5,Apartment,$100k-$500k,cluster2,Three
1219 Kelton Ave,Pittsburgh,PA,15216,"$126,800.00 ",,3,2,2003,1,0,1,0,1,14,,4.1,House,$100k-$500k,cluster6,Three
603 Bayberry Ln,Imperial,PA,15126,"$126,500.00 ",930,2,2,1957,0,0,0,0,1,60,$136.02 ,3.1,For Sale by Owner,$100k-$500k,cluster3,One
311 Newton Sq,Coraopolis,PA,15108,"$126,000.00 ",,2,3,1927,1,1,1,0,0,90,,4.2,House,$100k-$500k,cluster2,Three
7928 Aber Rd,Verona,PA,15147,"$126,000.00 ","1,012",3,2,1931,0,0,1,0,1,86,$124.51 ,3.3,House,$100k-$500k,cluster6,Three
Mckinley Ave,Pittsburgh,PA,15202,"$126,000.00 ","2,223",4,2,1909,0,1,0,0,0,108,$56.68 ,4,Auction,$100k-$500k,cluster5,Five
Superior Ave,Pittsburgh,PA,15202,"$126,000.00 ","1,400",3,1,1900,0,1,1,1,1,117,$90.00 ,3.5,Auction,$100k-$500k,cluster5,Four
5603 Mccormick Rd,Pittsburgh,PA,15205,"$126,000.00 ",888,2,1,1982,0,1,0,1,1,35,$141.89 ,3.1,Foreclosure,$100k-$500k,cluster1,Four
Parkedge Rd Lot 6,Greentree,PA,15220,"$126,000.00 ",,,,1956,1,1,0,1,0,,,4.4,Lot/Land,$100k-$500k,cluster1,Three
Montclair Ave,Pittsburgh,PA,15229,"$126,000.00 ","1,248",4,2,1958,0,1,1,0,1,59,$100.96 ,3.3,Auction,$100k-$500k,cluster5,Four
