address,city,state,zip, price , sqft ,bedrooms,bathrooms,property age,age in years,parking,heating,basement,attic,green_bldg, price_per_sqft ,seller_rating,sale_type,price_range,cluster,property_score
Poplar Ave,Pittsburgh,PA,15234," $125,000 "," 1,164 ",4,2,1938,79,0,0,0,0,1, $107.39 ,0.1,Pre-Foreclosure (Auction),$100k-$500k,cluster5,4.9
123 Mahoning Dr,Pittsburgh,PA,15235," $125,000 "," 1,494 ",3,2,2008,9,0,0,0,0,0, $83.67 ,0.7,House For Sale,$100k-$500k,cluster3,1.9
Blossom Rd,Pittsburgh,PA,15236," $125,000 ", 950 ,3,1.5,1988,29,0,0,0,1,0, $131.58 ,4.7,Pre-Foreclosure (Auction),$100k-$500k,cluster5,5
Waterford Ct LOT 213,Upper St. Clair,PA,15241," $125,000 ",,,,1964,,1,1,1,0,1,,3.7,Lot/Land For Sale,$100k-$500k,cluster2,4.1
3318 Cambria St,Munhall,PA,15120," $124,999 "," 1,248 ",2,2,1933,84,0,1,0,1,1, $100.16 ,3.6,For Sale by Owner,$100k-$500k,cluster1,3.6
221 Timber Trl,Imperial,PA,15126," $124,999 ", 992 ,2,1,1946,71,1,1,1,0,0, $126.01 ,4.2,For Sale by Owner,$100k-$500k,cluster5,4.9
117 Gardenia Dr,Turtle Creek,PA,15145," $124,999 "," 1,010 ",3,1,1963,54,1,0,0,0,1, $123.76 ,3.9,House For Sale,$100k-$500k,cluster2,3.2
502 Church St,Carnegie,PA,15106," $124,900 ",,3,2,1964,53,0,0,1,1,0,,4.6,House For Sale,$100k-$500k,cluster4,2
130 Greenfield Ave,East Pittsburgh,PA,15112," $124,900 ",,3,2,1952,65,1,0,1,0,0,,3.1,House For Sale,$100k-$500k,cluster4,2
1114 Monongahela Blvd,White Oak,PA,15131," $124,900 ",,4,2,2006,11,0,1,1,1,0,,4.7,House For Sale,$100k-$500k,cluster1,3.7
408 Marshall Dr,Mckeesport,PA,15132," $124,900 ",,3,2,1918,99,1,1,0,1,0,,0.3,House For Sale,$100k-$500k,cluster1,3.3
2350 Monroeville Rd,Monroeville,PA,15146," $124,900 ",,3,1,1958,59,1,1,0,0,1,,3.4,House For Sale,$100k-$500k,cluster2,4.2
4604 Bert Dr,Monroeville,PA,15146," $124,900 ",,3,2,2010,7,0,1,1,1,1,,1.7,House For Sale,$100k-$500k,cluster6,3.9
401 James St,Springdale,PA,15144," $124,900 ",,4,1,1959,58,1,0,1,1,1,,4.5,House For Sale,$100k-$500k,cluster6,3.5
214 Churchill Rd,Turtle Creek,PA,15145," $124,900 ",,3,2,1911,106,0,1,0,1,0,,3.6,House For Sale,$100k-$500k,cluster1,4.3
815 Margaretta St,Turtle Creek,PA,15145," $124,900 "," 1,260 ",3,1.5,1932,85,1,1,1,1,1, $99.13 ,1.8,House For Sale,$100k-$500k,cluster6,3
763 Clearview Dr,Verona,PA,15147," $124,900 ",,2,2,1954,63,1,1,0,1,0,,3.5,House For Sale,$100k-$500k,cluster1,4
6760 N Barivista Dr,Verona,PA,15147," $124,900 "," 2,100 ",3,3,2012,5,0,1,0,0,0, $59.48 ,0.6,House For Sale,$100k-$500k,cluster3,1.1
81 N Balph Ave,Pittsburgh,PA,15202," $124,900 ",,0,,1914,103,1,0,1,1,0,,3.8,Apartment For Sale,$100k-$500k,cluster4,2.4
195 Pennsylvania Ave,Pittsburgh,PA,15202," $124,900 "," 1,488 ",2,2,1933,84,1,1,0,0,1, $83.94 ,3.6,House For Sale,$100k-$500k,cluster2,3.5
247 Division Ave,Pittsburgh,PA,15202," $124,900 ",,3,3,1928,89,0,1,0,1,0,,4.6,House For Sale,$100k-$500k,cluster1,3.3
45 Sterling St,Carson,PA,15203," $124,900 ", 784 ,2,2,1998,,1,0,0,0,0, $159.31 ,3.5,House For Sale,$100k-$500k,cluster3,1
2019 Larkins Way,Pittsburgh,PA,15203," $124,900 ",,3,1,1982,35,1,1,1,1,0,,3.5,House For Sale,$100k-$500k,cluster4,2.5
275 Vine St,Pittsburgh,PA,15205," $124,900 "," 1,467 ",3,2,1969,48,1,0,1,1,0, $85.14 ,3.2,House For Sale,$100k-$500k,cluster4,2.4
1108 Pennsbury Blvd,Pittsburgh,PA,15205," $124,900 ", 992 ,1,2,1912,105,1,0,1,0,1, $125.91 ,4,For Sale by Owner,$100k-$500k,cluster6,3.5
103 N Duane St,Pittsburgh,PA,15205," $124,900 ",,3,1,1993,24,0,1,1,1,0,,1.1,House For Sale,$100k-$500k,cluster1,3.8
4160 Perrysville Ave,Pittsburgh,PA,15214," $124,900 "," 1,788 ",3,2,1915,102,1,1,1,0,1, $69.85 ,3.7,House For Sale,$100k-$500k,cluster2,3.6
521 Pacific Ave,Pittsburgh,PA,15221," $124,900 ",,0,,2008,9,0,1,1,0,0,,3.7,Apartment For Sale,$100k-$500k,cluster3,2
327 Barclay Ave,Pittsburgh,PA,15221," $124,900 ",,3,2,1995,22,0,0,0,0,0,,3.8,House For Sale,$100k-$500k,cluster3,1.3
320 Fort Duquesne Blvd 11b # 11B,Downtown Pgh,PA,15222," $124,900 ",,1,1,1983,,1,1,1,1,0,,4.1,Condo For Sale,$100k-$500k,cluster4,2.5
90 Hickory St,Pittsburgh,PA,15223," $124,900 ",,3,1,1966,51,0,0,1,1,1,,4.1,House For Sale,$100k-$500k,cluster6,3.6
162 Mary Ann Dr,Pittsburgh,PA,15227," $124,900 ",,3,1,1905,112,0,1,0,0,1,,5,House For Sale,$100k-$500k,cluster2,3.6
1494 Evelyn Rd,Pittsburgh,PA,15227," $124,900 ", 875 ,3,1,1949,68,0,0,0,0,0, $142.74 ,3,House For Sale,$100k-$500k,cluster3,1
254 Conson Rd,Pittsburgh,PA,15227," $124,900 ",,3,2,1931,86,0,0,1,0,0,,2.8,House For Sale,$100k-$500k,cluster3,1.1
141 Groveland St,Pittsburgh,PA,15234," $124,900 ",,2,1,1920,97,1,1,1,1,0,,2.7,House For Sale,$100k-$500k,cluster4,2
336 Crescent Gardens Dr,Pittsburgh,PA,15235," $124,900 "," 1,176 ",3,1,1973,44,1,0,1,1,1, $106.21 ,3.1,House For Sale,$100k-$500k,cluster6,3.6
827 Brentview Rd,Pittsburgh,PA,15236," $124,900 ",,4,2,2006,11,0,1,0,1,0,,0.2,House For Sale,$100k-$500k,cluster1,4.1
133 Holiday Park Dr,Pittsburgh,PA,15239," $124,900 ", 925 ,3,2,1911,106,1,0,0,1,1, $135.03 ,3.2,For Sale by Owner,$100k-$500k,cluster6,3.4
1246 Benton Ave,Pittsburgh,PA,15212," $124,890 ",,4,2,1912,105,1,1,0,1,1,,4.1,House For Sale,$100k-$500k,cluster2,4.4
8527 Westwood Rd,Pittsburgh,PA,15235," $124,873 "," 1,756 ",4,2,1987,30,0,1,1,0,1, $71.11 ,0.5,House For Sale,$100k-$500k,cluster2,3
116 Hershey Dr,Mckeesport,PA,15132," $124,500 ",,3,2,1978,39,1,0,0,1,1,,3.7,House For Sale,$100k-$500k,cluster6,3.6
700 4th 3 # 3,Aspinwall,PA,15215," $124,500 ",,2,1,1949,,1,0,1,1,1,,3.9,Condo For Sale,$100k-$500k,cluster6,3.5
5715 5715 Beacon 202 # 202,Pittsburgh,PA,15217," $124,500 ",,1,2,1960,57,0,0,0,1,0,,4.2,Townhouse For Sale,$100k-$500k,cluster1,4.4
5715 Beacon St APT 202,Pittsburgh,PA,15217," $124,500 ",,1,2,1908,109,0,0,0,0,1,,3.7,Condo For Sale,$100k-$500k,cluster3,1.7
Phillippi Ave,Bethel Park,PA,15102," $124,000 ", 888 ,2,1,1976,41,0,0,0,1,1, $139.64 ,3.7,Pre-Foreclosure (Auction),$100k-$500k,cluster5,4.8
S Park Ave,Glenshaw,PA,15116," $124,000 "," 1,092 ",3,1,1916,101,0,0,0,1,1, $113.55 ,3.4,Pre-Foreclosure (Auction),$100k-$500k,cluster5,4.6
1331 Cavitt Rd,Monroeville,PA,15146," $124,000 "," 1,352 ",4,2,1935,82,0,1,1,0,0, $91.72 ,5,Auction,$100k-$500k,cluster3,1.5
1238 Pennsbury Blvd,Pittsburgh,PA,15205," $124,000 ", 992 ,2,1,1924,93,1,0,1,0,1, $125.00 ,4.4,Condo For Sale,$100k-$500k,cluster6,3.6
Marie Ave,Etna,PA,15223," $124,000 ", 925 ,3,1,1993,,1,1,0,1,1, $134.05 ,4.9,Pre-Foreclosure (Auction),$100k-$500k,cluster5,4.8
1026 Chelton Ave,Pittsburgh,PA,15226," $124,000 ",,3,1,1902,115,1,0,0,0,1,,4.1,House For Sale,$100k-$500k,cluster2,3.1
Middleboro Rd,Pittsburgh,PA,15234," $124,000 "," 1,195 ",2,1.5,1931,86,0,0,1,1,1, $103.77 ,3.8,Pre-Foreclosure (Auction),$100k-$500k,cluster5,4.9
556 Springdale Dr,Pittsburgh,PA,15235," $124,000 "," 2,244 ",4,2,1934,83,0,1,0,0,1, $55.26 ,3.7,Foreclosed,$100k-$500k,cluster2,3.5
365 Temona Dr,Pittsburgh,PA,15236," $124,000 ",,3,2,1918,99,1,0,0,0,0,,3.4,House For Sale,$100k-$500k,cluster3,1.8
Roberts Rd,Pittsburgh,PA,15239," $124,000 "," 1,840 ",4,2,1978,39,0,0,0,1,0, $67.39 ,3.1,Pre-Foreclosure (Auction),$100k-$500k,cluster5,4.8
1029 Peermont Ave,Pittsburgh,PA,15216," $123,900 "," 1,411 ",2,1,1918,99,0,1,0,0,1, $87.81 ,4.7,For Sale by Owner,$100k-$500k,cluster2,4.1
601 Forest Ridge Dr,Pittsburgh,PA,15221," $123,900 ",,3,2,1955,62,0,1,0,1,0,,3.5,Condo For Sale,$100k-$500k,cluster1,3.4
124 Frazier Dr,Pittsburgh,PA,15235," $123,900 ", 983 ,2,2,1968,49,1,0,0,0,0, $126.04 ,2.8,House For Sale,$100k-$500k,cluster3,1.3
423 Regency Dr,Pittsburgh,PA,15239," $123,900 ",,3,2,1996,21,0,0,1,0,1,,4.1,House For Sale,$100k-$500k,cluster6,3.9
2360 Hollywood Dr,Pittsburgh,PA,15235," $123,600 ",,3,2,1900,117,1,0,0,1,1,,3.7,House For Sale,$100k-$500k,cluster6,4
524 Bellaire Ave,Pittsburgh,PA,15226," $123,500 ",,2,1,2005,12,0,0,1,0,1,,0.5,House For Sale,$100k-$500k,cluster6,3.9
Illini Dr,Monroeville,PA,15146," $123,000 "," 1,316 ",3,2,1906,111,1,0,1,0,0, $93.47 ,3.6,Pre-Foreclosure (Auction),$100k-$500k,cluster5,4.8
664 Carriage Cir,Pittsburgh,PA,15205," $123,000 ", 992 ,2,1,1982,35,0,0,1,1,1, $123.99 ,4.2,Condo For Sale,$100k-$500k,cluster6,3.7
2424 Charcot St,Pittsburgh,PA,15210," $123,000 "," 1,819 ",3,1,2014,3,1,1,0,1,1, $67.62 ,0.3,House For Sale,$100k-$500k,cluster2,4.3
Edmond St,Pittsburgh,PA,15224," $123,000 "," 1,772 ",2,1.5,1903,114,0,1,0,1,0, $69.41 ,5,Pre-Foreclosure (Auction),$100k-$500k,cluster1,3.6
Knowlson Ave,Pittsburgh,PA,15226," $123,000 "," 1,456 ",4,2,1903,114,1,0,0,0,1, $84.48 ,0.2,Pre-Foreclosure (Auction),$100k-$500k,cluster5,4.7
Cathell Rd,Pittsburgh,PA,15236," $123,000 "," 1,007 ",3,2,2009,8,1,0,1,1,0, $122.14 ,1.8,Pre-Foreclosure (Auction),$100k-$500k,cluster4,2.7
Ohiopyle Dr,Pittsburgh,PA,15239," $123,000 "," 1,025 ",3,2,1960,57,1,1,1,1,0, $120.00 ,0.1,Pre-Foreclosure (Auction),$100k-$500k,cluster5,5
Jackson Rd,Pittsburgh,PA,15239," $123,000 "," 1,540 ",2,2,1999,18,1,1,0,1,0, $79.87 ,4.8,Pre-Foreclosure (Auction),$100k-$500k,cluster5,5
159 Mardi Gras Dr,Pittsburgh,PA,15239," $123,000 "," 1,148 ",3,1,1969,48,0,0,0,0,0, $107.14 ,3.8,Auction,$100k-$500k,cluster3,1.9
308 Lennox Dr,Pittsburgh,PA,15235," $122,900 "," 2,200 ",3,2,1959,58,0,1,0,0,0, $55.86 ,3.5,House For Sale,$100k-$500k,cluster3,1.2
1160 Bower Hill Road 1114a # 1114A,Mt. Lebanon,PA,15243," $122,900 ",,2,2,1989,,1,1,1,1,0,,3.2,Co-op For Sale,$100k-$500k,cluster4,2.9
733 Garfield St,Springdale,PA,15144," $122,500 "," 1,452 ",3,2,1967,50,0,0,0,0,1, $84.37 ,3.3,House For Sale,$100k-$500k,cluster3,1.4
1088 Pennsbury Blvd,Pittsburgh,PA,15205," $122,500 ",,2,1,1966,51,0,1,0,1,1,,3.7,Townhouse For Sale,$100k-$500k,cluster1,4.1
211 Chestnut St,Pittsburgh,PA,15218," $122,500 ",,4,2,1936,81,1,0,1,0,0,,2.1,House For Sale,$100k-$500k,cluster4,3
709 Veronica Dr,Pittsburgh,PA,15235," $122,500 ",,3,2,1951,66,0,0,0,0,0,,0.5,House For Sale,$100k-$500k,cluster3,1.7
1127 Mike Reed Dr,Library,PA,15129," $122,000 ",,3,2,1998,19,0,0,0,1,1,,0.8,House For Sale,$100k-$500k,cluster6,3.3
225 Carmella Dr,White Oak,PA,15131," $122,000 ",,3,2,1982,35,1,0,1,0,0,,2.7,House For Sale,$100k-$500k,cluster4,2.9
Dakota Ave,Pittsburgh,PA,15202," $122,000 "," 1,723 ",3,1,1965,52,1,1,1,0,0, $70.81 ,3.4,Pre-Foreclosure (Auction),$100k-$500k,cluster5,4.6
339 Pennsview Ct,Pittsburgh,PA,15205," $122,000 "," 1,000 ",2,1,2007,10,0,0,0,0,1, $122.00 ,4.2,For Sale by Owner,$100k-$500k,cluster3,1
Bayard Rd APT 505,Pittsburgh,PA,15213," $122,000 ", 856 ,1,1,1913,104,0,1,1,1,1, $142.52 ,4.4,Pre-Foreclosure (Auction),$100k-$500k,cluster5,5
1112 Kelton Ave,Pittsburgh,PA,15216," $122,000 "," 1,293 ",3,1,1979,38,0,0,0,1,1, $94.35 ,1.2,Auction,$100k-$500k,cluster6,3.6
Crosby Ave,Pittsburgh,PA,15216," $122,000 "," 1,260 ",3,1.5,2002,15,1,0,0,1,0, $96.83 ,3.7,Pre-Foreclosure (Auction),$100k-$500k,cluster5,4.6
Perry Hwy,Pittsburgh,PA,15229," $122,000 "," 1,558 ",3,1,1930,87,1,1,1,0,1, $78.31 ,3.6,Pre-Foreclosure (Auction),$100k-$500k,cluster5,4.7
Laurie Dr,Pittsburgh,PA,15235," $122,000 "," 1,641 ",4,2.5,1900,117,0,0,0,1,1, $74.34 ,3.8,Pre-Foreclosure (Auction),$100k-$500k,cluster5,5
714 53rd,Lawrenceville,PA,15201," $121,950 ",,2,2,1933,84,0,1,1,1,0,,3.8,House For Sale,$100k-$500k,cluster1,4
3605 California Ave A # A,Pittsburgh,PA,15212," $121,900 ",,1,1,1938,79,0,1,0,0,0,,3.4,Townhouse For Sale,$100k-$500k,cluster3,1.5
3605 California Ave # A,Pittsburgh,PA,15212," $121,900 ",,1,1,1919,98,0,1,1,0,1,,3.6,Condo For Sale,$100k-$500k,cluster2,4.5
421 Macbeth Dr,Pittsburgh,PA,15235," $121,900 ",,4,2,1958,59,1,1,0,0,0,,3.2,House For Sale,$100k-$500k,cluster2,4.5
2221 Thomas Dr,White Oak,PA,15131," $121,000 "," 1,188 ",3,1,1998,19,0,1,1,0,1, $101.85 ,5,Foreclosed,$100k-$500k,cluster2,3.1
6th St,Pitcairn,PA,15140," $121,000 "," 1,710 ",2,1.5,1931,86,1,1,0,0,1, $70.76 ,3.1,Pre-Foreclosure (Auction),$100k-$500k,cluster5,4.9
Altaview Dr,Monroeville,PA,15146," $121,000 "," 1,409 ",3,1.5,2009,8,0,1,0,1,0, $85.88 ,4.5,Pre-Foreclosure (Auction),$100k-$500k,cluster1,3.6
323 Rosslyn Ave,Springdale,PA,15144," $121,000 "," 1,533 ",3,1.5,1908,109,1,0,1,1,1, $78.93 ,3.1,Foreclosed,$100k-$500k,cluster6,3.2
506 Jacks Run Rd,Pittsburgh,PA,15202," $121,000 ",,2,1,1961,56,1,1,1,0,0,,4.8,House For Sale,$100k-$500k,cluster2,4.2
31 Wheeler Ave,Pittsburgh,PA,15205," $121,000 "," 1,746 ",4,1,2003,14,0,1,1,1,1, $69.30 ,5,Foreclosed,$100k-$500k,cluster6,3.9
Jameson Dr,Pittsburgh,PA,15226," $121,000 ", 936 ,3,1.5,1952,65,1,0,0,1,1, $129.27 ,3.9,Pre-Foreclosure (Auction),$100k-$500k,cluster5,4.9
797A Cooke Dr,Castle Shannon,PA,15234," $121,000 ",,3,1,1908,,0,1,0,0,1,,3.9,House For Sale,$100k-$500k,cluster2,3.8
Hathaway Ct,Pittsburgh,PA,15235," $121,000 "," 1,841 ",3,2,1982,35,0,0,1,0,1, $65.73 ,3.4,Pre-Foreclosure (Auction),$100k-$500k,cluster5,4.9
476-D Marche,Bethel Park,PA,15102," $120,000 ",,,,1996,21,1,0,0,1,0,,4.4,Lot/Land For Sale,$100k-$500k,cluster4,2
41 Mcmichael Rd,Carnegie,PA,15106," $120,000 ",,3,1,1978,39,0,0,1,0,0,,1.3,House For Sale,$100k-$500k,cluster3,1.2
1217 California Ave,White Oak,PA,15131," $120,000 ",,3,3,1932,85,1,0,0,1,1,,3.9,House For Sale,$100k-$500k,cluster6,4
1133 Lincoln Way,White Oak,PA,15131," $120,000 ",,0,,1992,25,0,1,1,0,1,,3.5,House For Sale,$100k-$500k,cluster2,4.3
3746 Evergreen Dr,Monroeville,PA,15146," $120,000 "," 1,120 ",3,2,1987,30,1,0,0,1,1, $107.14 ,3.8,House For Sale,$100k-$500k,cluster6,3.4
696 Shade Ave,Pittsburgh,PA,15202," $120,000 "," 1,919 ",3,2,1939,78,0,1,0,1,0, $62.53 ,2.2,Auction,$100k-$500k,cluster1,3.3
S Euclid Ave,Pittsburgh,PA,15202," $120,000 "," 1,887 ",2,2,1918,99,0,0,1,0,0, $63.59 ,4.5,Pre-Foreclosure (Auction),$100k-$500k,cluster5,4.8
2037 Brownsville Rd,Pittsburgh,PA,15210," $120,000 ",,2,2,1931,86,1,0,1,1,1,,4,House For Sale,$100k-$500k,cluster6,3.3
1319 Sandusky St,Pittsburgh,PA,15212," $120,000 "," 1,400 ",,,1983,34,1,0,0,1,1, $85.71 ,4.2,For Sale by Owner,$100k-$500k,cluster6,3.3
4218 Perrysville Ave,Pittsburgh,PA,15214," $120,000 "," 1,424 ",3,1.5,1959,58,1,1,0,0,1, $84.27 ,3.5,House For Sale,$100k-$500k,cluster2,4.4
Portola St,Pittsburgh,PA,15214," $120,000 "," 1,620 ",3,1.5,1929,88,0,1,0,1,0, $74.07 ,1.8,Pre-Foreclosure (Auction),$100k-$500k,cluster1,4.2
2316 Columbia Ave,Pittsburgh,PA,15218," $120,000 "," 15,990 ",3,2,2014,3,1,1,1,0,0, $7.50 ,3.4,House For Sale,$100k-$500k,cluster2,3.7
20 Barton Dr,Pittsburgh,PA,15221," $120,000 ",,3,2,1909,108,0,1,0,1,0,,4.6,House For Sale,$100k-$500k,cluster1,3.4
2949 Sussex Ave,Pittsburgh,PA,15226," $120,000 "," 1,365 ",3,1,1987,30,0,1,0,0,0, $87.91 ,4,House For Sale,$100k-$500k,cluster3,1.9
3004 Kestner Ave,Pittsburgh,PA,15227," $120,000 ",,3,1,1924,93,0,0,0,1,1,,3.2,House For Sale,$100k-$500k,cluster6,3.2
232 Sunnyland Ave,Pittsburgh,PA,15227," $120,000 "," 2,104 ",4,2,1962,55,0,1,0,0,1, $57.03 ,3.4,Apartment For Sale,$100k-$500k,cluster2,3.3
Montclair Ave,Pittsburgh,PA,15229," $120,000 "," 1,276 ",3,1,2003,14,1,1,0,0,0, $94.04 ,4.6,Pre-Foreclosure (Auction),$100k-$500k,cluster5,4.6
144 Hazel Rd,Pittsburgh,PA,15235," $120,000 ",,3,2,1976,41,0,1,1,0,0,,3.6,House For Sale,$100k-$500k,cluster3,1.3
129 Temona Dr,Pittsburgh,PA,15236," $120,000 "," 1,120 ",3,1,1919,98,1,1,1,0,0, $107.14 ,1.5,Foreclosed,$100k-$500k,cluster5,4.5
4509 Peoples Rd,Pittsburgh,PA,15237," $120,000 "," 1,052 ",3,1,2011,6,0,0,0,1,1, $114.07 ,3.8,House For Sale,$100k-$500k,cluster6,3.9
102 Bayberry Ln,Imperial,PA,15126," $119,900 ",,2,2,1975,42,0,1,0,0,0,,3.8,House For Sale,$100k-$500k,cluster3,1.8
1209 Monongahela Blvd,White Oak,PA,15131," $119,900 ",,0,,1907,110,0,1,0,1,0,,4.3,Apartment For Sale,$100k-$500k,cluster1,4
209 Highland Avenue Ext,Mckeesport,PA,15132," $119,900 ",,3,2,1950,67,1,1,1,0,0,,3.6,House For Sale,$100k-$500k,cluster2,4.2
1811 Grandview Ave,Mckeesport,PA,15132," $119,900 ",,0,,1997,20,1,0,1,0,1,,4.3,House For Sale,$100k-$500k,cluster6,3.5
112 Homer Cir,Mc Kees Rocks,PA,15136," $119,900 ",,3,2,2011,6,0,0,1,0,0,,3.8,House For Sale,$100k-$500k,cluster3,1.3
1023 Edward St,North Versailles,PA,15137," $119,900 "," 1,268 ",3,2,1955,62,0,1,0,1,0, $94.56 ,3.9,House For Sale,$100k-$500k,cluster1,4.4
424 Garden City Dr,Monroeville,PA,15146," $119,900 ",,2,2,1904,113,0,0,0,0,0,,3.3,House For Sale,$100k-$500k,cluster3,1.6
3890 Logans Ferry Rd D & E W,Monroeville,PA,15146," $119,900 ",,5,2,1933,84,1,0,0,1,0,,3.4,House For Sale,$100k-$500k,cluster4,2.1
737 Patton Street Ext,Monroeville,PA,15146," $119,900 ",,3,2,1975,42,1,1,0,0,0,,2.1,House For Sale,$100k-$500k,cluster2,3.4
565 Sunnyfield Dr,Monroeville,PA,15146," $119,900 "," 1,107 ",3,1,1949,68,0,1,0,1,1, $108.31 ,3.4,House For Sale,$100k-$500k,cluster1,3.7
547 Pittsburgh St,Springdale,PA,15144," $119,900 "," 1,335 ",0,,1957,60,1,1,0,0,0, $89.81 ,4.8,Apartment For Sale,$100k-$500k,cluster2,3.3
1619 Oak Avenue Ext,Turtle Creek,PA,15145," $119,900 ",,4,2,1986,31,1,0,0,1,1,,4.6,House For Sale,$100k-$500k,cluster6,3.1
200 Springwood Dr,Verona,PA,15147," $119,900 ",,3,3,1923,94,1,0,1,1,0,,4.5,House For Sale,$100k-$500k,cluster4,2.1
247 Golden Gate Dr,Verona,PA,15147," $119,900 "," 1,435 ",3,3,1987,30,1,0,1,0,1, $83.55 ,4.2,House For Sale,$100k-$500k,cluster6,3.2
5205 Shirley St,Verona,PA,15147," $119,900 ",,3,1,1969,48,0,1,0,0,1,,4.2,House For Sale,$100k-$500k,cluster2,4
22 Keswick Ave,Pittsburgh,PA,15202," $119,900 ",,3,1,1927,90,0,1,1,1,1,,3.6,House For Sale,$100k-$500k,cluster6,3.2
74 Gibson St,Pittsburgh,PA,15202," $119,900 "," 1,420 ",3,2,2004,13,1,1,0,1,1, $84.44 ,3.7,House For Sale,$100k-$500k,cluster2,3.3
663 North Ave,Bellevue,PA,15202," $119,900 ",,2,1,1970,,1,0,1,1,1,,3.1,House For Sale,$100k-$500k,cluster6,3.1
452 Country View Ct,Pittsburgh,PA,15205," $119,900 ",,2,1,1925,92,1,0,1,0,1,,4.1,Condo For Sale,$100k-$500k,cluster6,3.6
1548-50 Ridenour,Crafton Heights,PA,15205," $119,900 ",,0,,1910,,0,1,0,1,1,,1.7,Apartment For Sale,$100k-$500k,cluster1,3.8
568 Broadhead Ave,Pittsburgh,PA,15205," $119,900 "," 1,303 ",3,2,1911,106,0,1,0,1,1, $92.02 ,3.3,House For Sale,$100k-$500k,cluster1,3.2
211 Amabell St,Pittsburgh,PA,15211," $119,900 "," 1,426 ",3,2,1981,36,0,0,1,1,0, $84.08 ,3.5,House For Sale,$100k-$500k,cluster4,2.5
305 Clarence St,Pittsburgh,PA,15211," $119,900 ",,2,2,1953,64,0,1,1,0,1,,4,House For Sale,$100k-$500k,cluster2,3.6
1200 Benton Ave,Pittsburgh,PA,15212," $119,900 ",,3,2,1913,104,1,0,1,1,1,,0.5,House For Sale,$100k-$500k,cluster6,3.5
712 Armandale St,Pittsburgh,PA,15212," $119,900 ",,3,1,1992,25,0,0,0,1,1,,2.4,House For Sale,$100k-$500k,cluster6,3.1
1017 Chestnut St,Pittsburgh,PA,15212," $119,900 ",,3,3,1901,116,1,0,0,1,0,,4.4,House For Sale,$100k-$500k,cluster4,2.4
26 Jacksonia St,Pittsburgh,PA,15212," $119,900 ",,2,1,2000,17,1,0,1,1,0,,3.8,House For Sale,$100k-$500k,cluster4,2.2
3347 Brighton Rd,Pittsburgh,PA,15212," $119,900 ",,3,3,1993,24,0,0,1,1,0,,4,House For Sale,$100k-$500k,cluster4,2.2
4492 Highridge,Summer Hill,PA,15214," $119,900 ",,3,1,1911,,1,1,0,1,1,,3.4,House For Sale,$100k-$500k,cluster2,3.2
52 Radium St,Pittsburgh,PA,15214," $119,900 "," 1,444 ",3,2,1900,117,0,1,1,1,1, $83.03 ,4.6,House For Sale,$100k-$500k,cluster6,3.5
4461 Valley View St,Pittsburgh,PA,15214," $119,900 ",,3,2,1989,28,1,0,1,0,0,,3.2,House For Sale,$100k-$500k,cluster4,2.3
1810 Crosby Ave,Pittsburgh,PA,15216," $119,900 ",,3,1,1909,108,0,0,0,1,0,,3.8,House For Sale,$100k-$500k,cluster1,4.3
65 Lilmont Dr,Pittsburgh,PA,15218," $119,900 ",,3,2,1971,46,1,1,0,0,1,,3.5,House For Sale,$100k-$500k,cluster2,4.4
31 Barton Dr,Pittsburgh,PA,15221," $119,900 ",,3,3,1937,80,0,0,0,0,0,,4.9,House For Sale,$100k-$500k,cluster3,1.9
3345 Bookman Ave,Pittsburgh,PA,15227," $119,900 ",,3,1,1909,108,0,0,0,0,0,,4.5,House For Sale,$100k-$500k,cluster3,1.3
3508 Shadewell Ave,Pittsburgh,PA,15227," $119,900 ",,3,2,1914,103,1,0,1,1,1,,4,House For Sale,$100k-$500k,cluster6,3.8
307 Bracken Ave,Pittsburgh,PA,15227," $119,900 "," 1,099 ",3,2,1932,85,1,1,0,0,0, $109.10 ,5,House For Sale,$100k-$500k,cluster2,3.4
201 Cypress Hill Dr,Pittsburgh,PA,15235," $119,900 ",,3,3,1925,92,0,1,0,1,0,,4.6,House For Sale,$100k-$500k,cluster1,4.5
156 Poplar Ridge Rd,Pittsburgh,PA,15235," $119,900 "," 1,450 ",3,2,1945,72,1,0,0,0,1, $82.69 ,3.1,House For Sale,$100k-$500k,cluster2,3.7
420 Cypress Hill Dr,Pittsburgh,PA,15235," $119,900 ",,3,3,1916,101,0,0,1,0,1,,3.6,House For Sale,$100k-$500k,cluster6,3
145 Sewickley Oakmont Rd,Pittsburgh,PA,15237," $119,900 ",,3,2,2000,17,1,1,0,1,1,,3.9,House For Sale,$100k-$500k,cluster2,3.4
1107 Rochester Rd,Pittsburgh,PA,15237," $119,900 ",,3,2,2012,5,1,1,0,1,1,,4.6,House For Sale,$100k-$500k,cluster2,4.5
1 Saxonburg Blvd,Indiana Twp Nal,PA,15238," $119,900 ",,,,1908,,1,1,1,1,0,,0.8,Lot/Land For Sale,$100k-$500k,cluster4,2.3
833 Jane St,Pittsburgh,PA,15239," $119,900 ",,3,2,1947,70,0,1,1,1,1,,3.9,House For Sale,$100k-$500k,cluster6,3.4
2409 Homestead Duquesne Rd,West Mifflin,PA,15122," $119,500 ",,3,3,1953,64,1,1,1,1,0,,3.9,House For Sale,$100k-$500k,cluster4,2
